Symbol,Name
SHOP.TO,Shopify Inc
SU.TO,Suncor Energy Inc
RY.TO,Royal Bank of Canada
TD.TO,TD Bank Group
BNS.TO,Bank of Nova Scotia
ENB.TO,Enbridge Inc
CNQ.TO,Canadian Natural Resources
CP.TO,Canadian Pacific Railway
CNR.TO,Canadian National Railway
BAM.TO,Brookfield Asset Management
